COD_APO;COD_ENDOSSO;DATA_COMP;COD_END;ITEM;TIPO_PES;MODALIDADE;TIPO_PROD;COBERTURA;COD_MODELO;ANO_MODELO;COD_TARIF;REGIAO;COD_CONT;TIPO_FRANQ;VAL_FRANQ;PERC_FATOR;TAB_REF;IS_CASCO;IS_RCDMAT;IS_RCDC;IS_RCDMOR;IS_APP_MA;IS_APP_IPA;IS_APP_DMH;PRE_CASCO;PRE_CAS_CO;PRE_RCDMAT;PRE_RCDC;PRE_RCDMOR;PRE_APP_MA;PRE_APP_IA;PRE_APP_DM;PRE_OUTROS;INICIO_VIG;FIM_VIG;PERC_BONUS;CLAS_BONUS;PERC_CORR;SEXO;DATA_NASC;TEMPO_HAB;UTILIZACAO;CEP_UTIL;CEP_PER;DATA_EMIS;SINAL
81775995;645835223;2019B;0;0;F;1;1;1;014053-8;2015;22;12;1;1;41300;1000;2;1132500;1000000;1000000;0;0;0;0;31250;0;4320;210;0;0;0;0;0;20180122;20190122;15;2;562;M;19860302;0;2;13208000;13208000;20180117;
81775995;645835226;2019B;1;0;F;1;1;1;004431-8;2018;22;12;1;2;30740;1000;2;1982000;1000000;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;20180529;20190122;15;2;0;M;19860302;0;2;13208000;13208000;20180529;
144597129;645835228;2019B;0;0;F;1;1;1;015092-4;2015;10;13;1;2;29550;1000;2;471970;1000000;1000000;0;50000;0;0;16460;0;5030;270;160;170;0;0;0;20180131;20190131;30;9;250;M;19430115;0;2;5688000;5688000;20180117;
40866588;645835237;2019B;0;0;F;1;1;1;001315-3;2016;10;11;1;1;21910;1000;2;302710;800000;1000000;0;200000;0;0;10710;0;3160;260;1030;800;0;0;0;20180127;20190127;30;9;1517;M;19580731;0;0;3688010;3688010;20180117;
217900552;645835253;2019B;0;0;F;1;1;1;025183-6;2013;10;10;1;2;36180;1000;2;389240;1000000;1000000;0;150000;0;0;10250;0;3140;250;0;580;0;0;0;20180127;20190127;30;9;200;M;19520318;0;2;11410000;11410000;20180117;
94815162;645835281;2019B;0;0;F;1;1;1;008192-2;2015;10;11;1;1;24540;1000;2;775830;1500000;3000000;0;0;0;0;27520;0;7220;270;0;0;0;0;0;20180204;20190204;30;9;250;M;19400606;0;2;4515000;4515000;20180117;
81216231;645835289;2019B;0;0;F;1;1;1;005355-4;2015;10;13;1;1;28850;1000;2;741710;1000000;1000000;0;0;0;0;13210;0;3360;400;0;0;0;0;0;20180116;20190116;0;0;562;M;19810923;0;2;14900000;14900000;20180117;
187214674;645835320;2019B;0;0;F;1;1;2;004433-4;2015;10;11;1;2;30960;1000;2;389860;0;0;0;0;0;0;15210;0;0;0;0;0;0;0;0;20180117;20190117;0;0;0;M;19711228;0;2;6726000;6726000;20180117;
75018870;645835345;2019B;0;0;F;1;1;1;015071-1;2012;11;11;1;1;17730;1000;2;375220;750000;750000;0;0;0;0;19460;0;6200;240;0;0;0;0;0;20180120;20190120;30;8;2553;F;19490123;0;2;4514000;4514000;20180117;
256764421;645835362;2019B;2;0;J;1;1;1;014017-1;2000;10;11;1;2;43570;1000;2;131190;1000000;1000000;0;100000;0;0;-1210;0;-380;-30;0;-40;0;0;0;20181116;20190111;30;9;0;M;19450504;0;2;5303000;5303000;20181116;
145057832;645835365;2019B;0;0;F;1;1;1;005256-6;2011;11;11;1;1;20520;1000;2;606030;1000000;1000000;0;350000;0;0;17180;0;2490;310;0;1340;0;0;0;20180129;20190129;30;9;250;F;19450730;0;2;6709000;6709000;20180117;
283905377;645835380;2019B;0;0;F;1;1;1;015089-4;2014;10;11;1;2;36940;1000;2;360650;500000;500000;0;50000;0;0;8530;0;1220;240;0;140;0;0;0;20180123;20190123;30;9;200;M;19631201;0;2;9280000;9280000;20180117;
